0.41 --> 4.04  [Music]
0.84 --> 7.24  good things a short moral
4.04 --> 11.24  Story Once upon a time there was a
7.24 --> 15.16  little boy named Rohan Rohan was very
11.24 --> 17.52  mischievous and loved having fun one day
15.16 --> 21.240000000000002  he found a bunch of chocolates in his
17.52 --> 24.56  dad's room he was so happy that he
21.24 --> 27.32  decided to share them with his
24.56 --> 31.718999999999998  friends when rohan's Dad saw the
27.32 --> 36.36  chocolates missing from his room he was
31.719 --> 39.44  surprised he asked Rohan Rohan where did
36.36 --> 42.559  you get these chocolates from Rohan
39.44 --> 46.559  honestly told him that he took them from
42.559 --> 49.879  his dad's room and shared them with his
46.559 --> 54.32  friends rohan's dad smiled and hugged
49.879 --> 57.718999999999994  him saying son you did a good
54.32 --> 61.64  deed chocolates are just things but by
57.719 --> 64.519  sharing them you made your friends happy
61.64 --> 66.119  remember doing good things brings
64.519 --> 70.2  happiness to
66.119 --> 72.84  everyone moral by doing good deeds we
70.2 --> 76.72  can bring happiness and love into our
72.84 --> 78.92  lives by doing small acts of kindness we
76.72 --> 84.119  can make others
78.92 --> 84.119  happy thank you for watching
